sample id,Species,Temp,pH,Light,Site,File,DATE,TIME,PAR,Depth(m),T(C),Battery_V,Dark_Fo,Fm,Fv,fv_fm,Sigma,p,Alp1,Tau1,Alp2,Tau2,Alp3,Tau3,Alp4,Tau4,TauAv1,TauAv2,GAIN,Light_Fo,Fm.1,Fv.1,Fv_Fm.1,Sigma.1,p.1,Alp1.1,Tau1.1,Alp2.1,Tau2.1,Alp3.1,Tau3.1,Alp4.1,Tau4.1,TauAv1.1,TauAv2.1,Pmax.e.s
80,Stylophora,23,8.2,10m,NF,20250408.1,Aug-25,40318,894.8,-2,76,14.01,5.3,8.5,3.2,0.379,385.7,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,8.7,10.5,1.7,0.164,169.3,0.7,0.85,217,0.136,2042,0.015,39413,--------,-------,468,1041,2136.3
81,Stylophora,23,8.2,10m,NF,20250408.1,Aug-25,40328,719.1,-2,76.2,14.01,7,10.7,3.8,0.35,293.9,0.51,0.75,595,0.05,603,0.2,901055,--------,-------,595,180007,1800,12.4,14.3,2,0.138,748.2,0.01,0.954,26,0.046,12799,0,70255,--------,-------,612,620,1634.1
82,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43147,900,3,35.2,16.43,5.4,7.4,2,0.274,288.3,0.01,0.5,664,0.4,2961,0.1,33105,--------,-------,1685,4884,1800,6,8.4,2.4,0.284,772.9,0.01,0.782,214,0.001,12088,0.217,12587,--------,-------,2906,2913,344.2
83,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43162,630,2.9,35.8,16.43,8.7,14.7,6,0.408,566.5,0.09,0.72,521,0.22,20993,0.06,21080,--------,-------,2214,6265,1600,15.3,17,1.7,0.101,1335.1,0.7,0.363,867,0.569,9026,0.067,51200,--------,-------,5847,8904,171
84,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43174,441,3.2,36,16.41,6.2,9.1,2.9,0.318,194.4,0.69,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,8.6,10.7,2.1,0.195,165,0.7,0.817,423,0.154,2394,0.03,42929,--------,-------,735,1994,1360.5
85,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43189,290.4,2.8,36.3,16.41,8.1,14.4,6.3,0.437,463.1,0.32,0.31,798,0.51,3171,0.18,673297,--------,-------,2264,122343,1700,14.2,15.9,1.8,0.11,243.8,0.01,0.001,229,0.065,12387,0.935,12396,--------,-------,12386,12386,80.7
86,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43206,267.1,2.6,36.1,16.4,7.4,10.4,3,0.29,275.3,0.45,0.48,934,0.16,939,0.36,209287,--------,-------,935,76241,1800,10.7,11.6,0.9,0.079,150.9,0.69,0.02,847,0.083,11976,0.897,12065,--------,-------,11816,11829,84.6
87,Stylophora,23,8.2,10m,NF,20250514.02,5/14/2025,45125,487.6,2.3,35.2,16.42,5.4,9.9,4.6,0.462,281,0,0.77,198,0.16,2387,0.07,641792,--------,-------,579,45766,1700,10.8,12.1,1.3,0.105,783.6,0.01,0.017,668,0.883,14951,0.1,15666,--------,-------,14683,14781,68.1
88,Stylophora,23,8.2,10m,NF,20250514.02,5/14/2025,45145,561,2.2,36.2,16.41,5.5,1.8,-3.7,-2.026,679.8,0.01,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,0.4,3.6,3.2,0.884,1971.8,0.67,0.899,280,0.088,5320,0.012,106400,--------,-------,731,2045,1367.4
89,Stylophora,23,8.2,10m,NF,20250514.02,5/14/2025,45159,900,2.5,36,16.4,4.9,7.3,2.4,0.331,365.9,0.39,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,11,9.8,-1.2,-0.119,395.7,0.7,0.225,1598,0.694,14796,0.082,288248,--------,-------,11564,34116,86.5
90,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39768,462.7,-1.9,74.5,14.09,6.4,10.2,3.9,0.377,438.9,0.54,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,10.7,13.4,2.7,0.204,178.4,0.7,0.789,247,0.198,3006,0.013,60129,--------,-------,801,1587,1248.9
91,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39781,722,-1.9,75.1,14.09,7.3,13.9,6.6,0.477,539.4,0,0.34,490,0.38,1747,0.28,210782,--------,-------,1160,59696,1800,16.3,18.7,2.4,0.126,715.5,0.01,0.859,37,0.14,9234,0,90195,--------,-------,1329,1340,752.7
92,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39793,900,-1.9,75.1,14.08,6.2,9.8,3.5,0.36,526.9,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,10.7,15.5,4.8,0.311,34.9,0.7,0.83,195,0.15,991,0.02,14330,--------,-------,317,590,3159
93,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39805,712.7,-1.9,75.1,14.08,7.7,12.5,4.8,0.386,502.6,0.45,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,13.2,14.7,1.4,0.098,1990,0.7,0.899,147,0.088,5101,0.012,96384,--------,-------,591,1781,1693
94,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39816,498.9,-1.9,75.4,14.08,7.5,14.5,7.1,0.488,543.9,0.17,0.53,827,0.3,3715,0.17,912898,--------,-------,1877,160745,1700,16.9,18.7,1.7,0.093,1498.8,0.69,0.134,986,0.797,12811,0.069,21870,--------,-------,11109,11846,90
95,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39828,379.4,-1.9,75.6,14.08,4.5,9.6,5.2,0.538,714.9,0,0.59,192,0.26,3652,0.15,565861,--------,-------,1235,87693,1800,9.9,11.7,1.8,0.155,139.7,0.14,0.001,193,0.949,13203,0.05,13250,--------,-------,13192,13195,75.8
96,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39843,607.9,-1.9,75.6,14.08,4.3,7.6,3.3,0.438,918.5,0,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,8.8,9.9,1.1,0.109,93.8,0.69,0.57,799,0.409,1947,0.022,68494,--------,-------,1279,2733,782
97,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39854,425.5,-2,75.3,14.08,10.8,20.9,10.1,0.483,532.7,0.39,0.61,225,0.28,6786,0.11,837675,--------,-------,2257,94168,1600,22,24.7,2.7,0.11,1568.5,0.7,0.161,602,0.771,13295,0.068,39824,--------,-------,11106,13060,90
98,Stylophora,23,8.2,10m,HF,20250408.09,Aug-25,39866,375.8,-2,75.5,14.07,7.6,13.5,5.8,0.432,295,0,0.69,1207,0.05,20746,0.26,21293,--------,-------,2553,7383,1700,14.4,16.5,2.1,0.129,911,0.01,0.026,427,0.049,11483,0.924,12995,--------,-------,12646,12588,79.1
99,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,39913,900,-2,75.7,14.07,4.7,7.5,2.8,0.367,527.3,0.49,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,10.5,9.7,-0.8,-0.083,193.4,0.7,0.248,1135,0.672,11580,0.08,223558,--------,-------,8764,25950,114.1
100,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40243,789.9,-2,76.1,14.03,6,9.6,3.6,0.375,391.1,0,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,9.5,8.8,-0.7,-0.081,419.2,0.69,0.106,2649,0.818,22996,0.076,422090,--------,-------,20653,51072,48.4
101,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40257,900,-2,76.3,14.02,7.1,9.5,2.4,0.255,425.1,0.69,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,12.9,10.7,-2.2,-0.203,250.4,0.47,0.045,31,0.882,31,0.073,40,--------,-------,32,32,31389.6
102,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40269,630,-2,76.2,14.02,6.9,11.3,4.4,0.389,313.6,0,0.72,415,0.03,513,0.26,210376,--------,-------,418,54590,1800,12.4,13.1,0.7,0.05,2666.9,0.69,0.694,163,0.271,13346,0.036,73336,--------,-------,3864,6348,258.8
103,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40295,900,-2,76,14.01,2.3,2.5,0.3,0.103,274,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,4.1,2.6,-1.5,-0.57,296.3,0.69,0.296,1187,0.629,10380,0.075,212309,--------,-------,7441,22849,134.4
104,Stylophora,23,8.2,10m,HF,20250408.1,Aug-25,40307,629.3,-2,76.2,14.02,7.3,10.7,3.4,0.315,417.3,0.7,0.42,645,0.42,3733,0.17,132006,--------,-------,2185,23619,1800,10.3,12.3,2,0.162,499.2,0.01,0.263,802,0.068,9366,0.668,9383,--------,-------,6960,7124,143.7
105,Stylophora,23,8.2,10m,NF,20250408.1,Aug-25,40318,894.8,-2,76,14.01,5.3,8.5,3.2,0.379,385.7,0.7,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,1900,8.7,10.5,1.7,0.164,169.3,0.7,0.85,217,0.136,2042,0.015,39413,--------,-------,468,1041,2136.3
106,Stylophora,23,8.2,10m,NF,20250408.1,Aug-25,40328,719.1,-2,76.2,14.01,7,10.7,3.8,0.35,293.9,0.51,0.75,595,0.05,603,0.2,901055,--------,-------,595,180007,1800,12.4,14.3,2,0.138,748.2,0.01,0.954,26,0.046,12799,0,70255,--------,-------,612,620,1634.1
107,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43147,900,3,35.2,16.43,5.4,7.4,2,0.274,288.3,0.01,0.5,664,0.4,2961,0.1,33105,--------,-------,1685,4884,1800,6,8.4,2.4,0.284,772.9,0.01,0.782,214,0.001,12088,0.217,12587,--------,-------,2906,2913,344.2
108,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43162,630,2.9,35.8,16.43,8.7,14.7,6,0.408,566.5,0.09,0.72,521,0.22,20993,0.06,21080,--------,-------,2214,6265,1600,15.3,17,1.7,0.101,1335.1,0.7,0.363,867,0.569,9026,0.067,51200,--------,-------,5847,8904,171
109,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43174,441,3.2,36,16.41,6.2,9.1,2.9,0.318,194.4,0.69,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,8.6,10.7,2.1,0.195,165,0.7,0.817,423,0.154,2394,0.03,42929,--------,-------,735,1994,1360.5
110,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43189,290.4,2.8,36.3,16.41,8.1,14.4,6.3,0.437,463.1,0.32,0.31,798,0.51,3171,0.18,673297,--------,-------,2264,122343,1700,14.2,15.9,1.8,0.11,243.8,0.01,0.001,229,0.065,12387,0.935,12396,--------,-------,12386,12386,80.7
111,Stylophora,23,8.2,10m,HF,20250514.02,5/14/2025,43206,267.1,2.6,36.1,16.4,7.4,10.4,3,0.29,275.3,0.45,0.48,934,0.16,939,0.36,209287,--------,-------,935,76241,1800,10.7,11.6,0.9,0.079,150.9,0.69,0.02,847,0.083,11976,0.897,12065,--------,-------,11816,11829,84.6
112,Stylophora,23,8.2,10m,NF,20250514.02,5/14/2025,45125,487.6,2.3,35.2,16.42,5.4,9.9,4.6,0.462,281,0,0.77,198,0.16,2387,0.07,641792,--------,-------,579,45766,1700,10.8,12.1,1.3,0.105,783.6,0.01,0.017,668,0.883,14951,0.1,15666,--------,-------,14683,14781,68.1
113,Stylophora,23,8.2,10m,NF,20250514.02,5/14/2025,45145,561,2.2,36.2,16.41,5.5,1.8,-3.7,-2.026,679.8,0.01,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,0.4,3.6,3.2,0.884,1971.8,0.67,0.899,280,0.088,5320,0.012,106400,--------,-------,731,2045,1367.4
114,Stylophora,23,8.2,10m,NF,20250514.02,5/14/2025,45159,900,2.5,36,16.4,4.9,7.3,2.4,0.331,365.9,0.39,--------,-------,--------,-------,--------,-------,--------,-------,--------,--------,2000,11,9.8,-1.2,-0.119,395.7,0.7,0.225,1598,0.694,14796,0.082,288248,--------,-------,11564,34116,86.5
